"gene","STRING_id"
"Fuz","10090.ENSMUSP00000071194"
"Fxyd1","10090.ENSMUSP00000048460"
"Fxyd3","10090.ENSMUSP00000130245"
"Fxyd6","10090.ENSMUSP00000083101"
"Fxyd7","10090.ENSMUSP00000073555"
"G3bp2","10090.ENSMUSP00000128353"
"G6pc3","10090.ENSMUSP00000077995"
"Gab1","10090.ENSMUSP00000147784"
"Gabarap","10090.ENSMUSP00000018711"
"Gabarapl1","10090.ENSMUSP00000032264"
"Gabbr1","10090.ENSMUSP00000025338"
"Gal3st1","10090.ENSMUSP00000058348"
"Galnt1","10090.ENSMUSP00000132142"
"Gan","10090.ENSMUSP00000070168"
"Ganab","10090.ENSMUSP00000093965"
"Gapvd1","10090.ENSMUSP00000099864"
"Garem1","10090.ENSMUSP00000048914"
"Gas2l3","10090.ENSMUSP00000096973"
"Gas7","10090.ENSMUSP00000104322"
"Gas8","10090.ENSMUSP00000090730"
"Gask1b","10090.ENSMUSP00000114093"
"Gatad1","10090.ENSMUSP00000007559"
"Gatad2b","10090.ENSMUSP00000142514"
"Gbf1","10090.ENSMUSP00000026254"
"Gcn1","10090.ENSMUSP00000069432"
"Gdi2","10090.ENSMUSP00000152454"
"Gfra1","10090.ENSMUSP00000026076"
"Ggnbp1","10090.ENSMUSP00000051800"
"Ggnbp2","10090.ENSMUSP00000103716"
"Gjb1","10090.ENSMUSP00000113516"
"Gjc3","10090.ENSMUSP00000076367"
"Gk5","10090.ENSMUSP00000112717"
"Gldn","10090.ENSMUSP00000056080"
"Gls","10090.ENSMUSP00000110158"
"Glt8d1","10090.ENSMUSP00000022476"
"Glyr1","10090.ENSMUSP00000111510"
"Gna12","10090.ENSMUSP00000000153"
"Gnai1","10090.ENSMUSP00000074259"
"Gnas","10090.ENSMUSP00000140174"
"Gng2","10090.ENSMUSP00000125697"
"Gnl2","10090.ENSMUSP00000030684"
"Gnpat","10090.ENSMUSP00000034466"
"Golga1","10090.ENSMUSP00000037735"
"Golgb1","10090.ENSMUSP00000045239"
"Gopc","10090.ENSMUSP00000020008"
"Gpatch11","10090.ENSMUSP00000126814"
"Gpbp1l1","10090.ENSMUSP00000030460"
"Gpcpd1","10090.ENSMUSP00000105769"
"Gpd1","10090.ENSMUSP00000023760"
"Gpm6b","10090.ENSMUSP00000107848"
"Gpr37l1","10090.ENSMUSP00000027682"
"Gprasp1","10090.ENSMUSP00000108769"
"Gpt2","10090.ENSMUSP00000034136"
"Gramd1b","10090.ENSMUSP00000048126"
"Gria3","10090.ENSMUSP00000075687"
"Grk4","10090.ENSMUSP00000001112"
"Grn","10090.ENSMUSP00000046340"
"Gsn","10090.ENSMUSP00000028239"
"Gulp1","10090.ENSMUSP00000074115"
"H13","10090.ENSMUSP00000086460"
"H2-D1","10090.ENSMUSP00000134570"
"Hcfc1r1","10090.ENSMUSP00000024697"
"Hdac1","10090.ENSMUSP00000099657"
"Hdac8","10090.ENSMUSP00000085226"
"Hddc3","10090.ENSMUSP00000032747"
"Hectd4","10090.ENSMUSP00000048345"
"Hepacam","10090.ENSMUSP00000054105"
"Herc4","10090.ENSMUSP00000020258"
"Herpud1","10090.ENSMUSP00000124201"
"Hibadh","10090.ENSMUSP00000031788"
"Hint3","10090.ENSMUSP00000125552"
"Hipk3","10090.ENSMUSP00000028600"
"Hjurp","10090.ENSMUSP00000054263"
"Hmg20a","10090.ENSMUSP00000034879"
"Hmg20b","10090.ENSMUSP00000020454"
"Hmgcl","10090.ENSMUSP00000030432"
"Hmgcr","10090.ENSMUSP00000022176"
"Hmgcs1","10090.ENSMUSP00000153064"
"Hmgcs2","10090.ENSMUSP00000088249"
"Hnrnph1","10090.ENSMUSP00000076989"
"Hnrnph2","10090.ENSMUSP00000108828"
"Hnrnph3","10090.ENSMUSP00000020263"
"Hnrnpk","10090.ENSMUSP00000112104"
"Hnrnpll","10090.ENSMUSP00000139372"
"Hnrnpr","10090.ENSMUSP00000138399"
"Hnrnpul1","10090.ENSMUSP00000146263"
"Homer1","10090.ENSMUSP00000078093"
"Hook3","10090.ENSMUSP00000046788"
"Hoxc6","10090.ENSMUSP00000001711"
"Hsd17b11","10090.ENSMUSP00000031251"
"Hsd17b4","10090.ENSMUSP00000025385"
"Hsd17b7","10090.ENSMUSP00000027989"
"Hsf1","10090.ENSMUSP00000072617"
"Hsp90b1","10090.ENSMUSP00000020238"
