"gene","STRING_id"
"Mtr","10090.ENSMUSP00000097442"
"Mus81","10090.ENSMUSP00000114895"
"Mxra7","10090.ENSMUSP00000021170"
"Myh14","10090.ENSMUSP00000046059"
"Mylip","10090.ENSMUSP00000047403"
"Myo1b","10090.ENSMUSP00000018561"
"Myo1c","10090.ENSMUSP00000104069"
"Myo6","10090.ENSMUSP00000036181"
"Myo7a","10090.ENSMUSP00000102745"
"N4bp2l2","10090.ENSMUSP00000113895"
"Nacc2","10090.ENSMUSP00000109796"
"Nap1l4","10090.ENSMUSP00000146474"
"Nav1","10090.ENSMUSP00000067241"
"Naxd","10090.ENSMUSP00000033901"
"Nbl1","10090.ENSMUSP00000045608"
"Ncbp3","10090.ENSMUSP00000021135"
"Ncln","10090.ENSMUSP00000020463"
"Ncs1","10090.ENSMUSP00000000199"
"Nde1","10090.ENSMUSP00000023359"
"Ndor1","10090.ENSMUSP00000109989"
"Nfasc","10090.ENSMUSP00000092148"
"Nfib","10090.ENSMUSP00000052863"
"Nfkbia","10090.ENSMUSP00000021413"
"Nfx1","10090.ENSMUSP00000095747"
"Nid1","10090.ENSMUSP00000005532"
"Nipbl","10090.ENSMUSP00000059385"
"Notch2","10090.ENSMUSP00000078741"
"Npdc1","10090.ENSMUSP00000071387"
"Nphp3","10090.ENSMUSP00000035167"
"Nqo1","10090.ENSMUSP00000003947"
"Nr1d1","10090.ENSMUSP00000069505"
"Nr1d2","10090.ENSMUSP00000088031"
"Nr6a1","10090.ENSMUSP00000108498"
"Nsmaf","10090.ENSMUSP00000029910"
"Nsmf","10090.ENSMUSP00000097908"
"Ntrk3","10090.ENSMUSP00000037909"
"Nub1","10090.ENSMUSP00000143657"
"Nxt2","10090.ENSMUSP00000108538"
"Ogfod2","10090.ENSMUSP00000024470"
"Ogn","10090.ENSMUSP00000021822"
"Olfml2b","10090.ENSMUSP00000047291"
"Ophn1","10090.ENSMUSP00000033560"
"Optn","10090.ENSMUSP00000110648"
"Osbpl1a","10090.ENSMUSP00000073957"
"Osbpl5","10090.ENSMUSP00000020411"
"Osmr","10090.ENSMUSP00000022746"
"Ostf1","10090.ENSMUSP00000025631"
"Oxsr1","10090.ENSMUSP00000042155"
"P3h2","10090.ENSMUSP00000038056"
"P4ha2","10090.ENSMUSP00000019050"
"P4htm","10090.ENSMUSP00000006853"
