"gene","STRING_id"
"Phf20l1","10090.ENSMUSP00000155487"
"Rasgef1a","10090.ENSMUSP00000145077"
"Mbd3","10090.ENSMUSP00000089948"
"Ttc3","10090.ENSMUSP00000156151"
"Samm50","10090.ENSMUSP00000023071"
"Slc41a2","10090.ENSMUSP00000036690"
"Rai1","10090.ENSMUSP00000070896"
"Emc7","10090.ENSMUSP00000068610"
"Meaf6","10090.ENSMUSP00000053543"
"Vwa1","10090.ENSMUSP00000040405"
"Diaph2","10090.ENSMUSP00000039334"
"Plekha1","10090.ENSMUSP00000074675"
"Xpnpep1","10090.ENSMUSP00000138250"
"Fam120b","10090.ENSMUSP00000054420"
"Dbi","10090.ENSMUSP00000114705"
"Syne2","10090.ENSMUSP00000047697"
"Ranbp1","10090.ENSMUSP00000111309"
"Snd1","10090.ENSMUSP00000001460"
"Sra1","10090.ENSMUSP00000133360"
"Snx19","10090.ENSMUSP00000131895"
"Trip10","10090.ENSMUSP00000153467"
"Mxra8","10090.ENSMUSP00000030947"
"Rab3ip","10090.ENSMUSP00000020375"
"Itgb1","10090.ENSMUSP00000087457"
"S1pr3","10090.ENSMUSP00000085293"
"Ttc17","10090.ENSMUSP00000106869"
"Letmd1","10090.ENSMUSP00000037546"
"Chd9","10090.ENSMUSP00000105243"
"Zzef1","10090.ENSMUSP00000068790"
"Hepacam","10090.ENSMUSP00000054105"
"Ifnar1","10090.ENSMUSP00000023689"
"Npepl1","10090.ENSMUSP00000042808"
"Kctd18","10090.ENSMUSP00000110052"
"Smtn","10090.ENSMUSP00000074621"
"Scnm1","10090.ENSMUSP00000134337"
"Ptpn21","10090.ENSMUSP00000082197"
"Bmp2k","10090.ENSMUSP00000037970"
"Arl2","10090.ENSMUSP00000025893"
"Frzb","10090.ENSMUSP00000028389"
"AW549877","10090.ENSMUSP00000038476"
"Snx11","10090.ENSMUSP00000021246"
"Rtn4","10090.ENSMUSP00000099907"
"Cdkn1a","10090.ENSMUSP00000156559"
"Fam114a2","10090.ENSMUSP00000104478"
"Rufy3","10090.ENSMUSP00000143302"
"Hmgn3","10090.ENSMUSP00000124278"
"Dock7","10090.ENSMUSP00000030286"
"Ppox","10090.ENSMUSP00000072863"
"Noc2l","10090.ENSMUSP00000137253"
"Bcl6","10090.ENSMUSP00000023151"
"Ralgds","10090.ENSMUSP00000097812"
"Plpp3","10090.ENSMUSP00000065719"
"Zfp386","10090.ENSMUSP00000138305"
"Fgfr1op2","10090.ENSMUSP00000107292"
"Map6","10090.ENSMUSP00000146585"
"Rapsn","10090.ENSMUSP00000054150"
"Gca","10090.ENSMUSP00000028257"
"Arhgef12","10090.ENSMUSP00000126598"
"Mecr","10090.ENSMUSP00000030742"
"Nubp1","10090.ENSMUSP00000023146"
"Dido1","10090.ENSMUSP00000084794"
"Poldip3","10090.ENSMUSP00000054548"
"Ccdc6","10090.ENSMUSP00000123374"
"Cops7a","10090.ENSMUSP00000108058"
"Ppp3cb","10090.ENSMUSP00000125722"
"Marcks","10090.ENSMUSP00000090245"
"Drg1","10090.ENSMUSP00000020741"
"Ythdf1","10090.ENSMUSP00000037808"
"Sdk2","10090.ENSMUSP00000038972"
"Thap2","10090.ENSMUSP00000151353"
"Slc5a3","10090.ENSMUSP00000109608"
"Cox7b","10090.ENSMUSP00000033582"
"Chdh","10090.ENSMUSP00000065542"
"Wdr4","10090.ENSMUSP00000126061"
"Sar1a","10090.ENSMUSP00000020285"
"Tbl1xr1","10090.ENSMUSP00000142184"
"Calhm5","10090.ENSMUSP00000064462"
"Nfatc1","10090.ENSMUSP00000129001"
"Dus3l","10090.ENSMUSP00000007747"
"Dnajc21","10090.ENSMUSP00000116865"
"Tmcc3","10090.ENSMUSP00000063264"
"Cpe","10090.ENSMUSP00000048555"
"P3h1","10090.ENSMUSP00000099723"
"Kcnmb4","10090.ENSMUSP00000065384"
"Zfp410","10090.ENSMUSP00000045550"
"Cd47","10090.ENSMUSP00000099853"
"Cnnm3","10090.ENSMUSP00000001166"
"Ugt8a","10090.ENSMUSP00000143605"
"St8sia5","10090.ENSMUSP00000074764"
"P4hb","10090.ENSMUSP00000026122"
"Cdh1","10090.ENSMUSP00000000312"
"Pank4","10090.ENSMUSP00000064330"
"Ubc","10090.ENSMUSP00000114180"
"Emp2","10090.ENSMUSP00000077466"
"Puf60","10090.ENSMUSP00000098096"
"Taf6","10090.ENSMUSP00000106561"
"Smarca4","10090.ENSMUSP00000096547"
"Setd1b","10090.ENSMUSP00000133933"
"Sept3","10090.ENSMUSP00000023095"
"Mfap3l","10090.ENSMUSP00000125139"
"Shtn1","10090.ENSMUSP00000041378"
"Haghl","10090.ENSMUSP00000077091"
"Cnot7","10090.ENSMUSP00000117304"
"Tbc1d9b","10090.ENSMUSP00000098828"
"Jdp2","10090.ENSMUSP00000136823"
"Tdp2","10090.ENSMUSP00000035660"
"Xpa","10090.ENSMUSP00000030013"
"Prpf19","10090.ENSMUSP00000136858"
"Arhgap39","10090.ENSMUSP00000158945"
"Krit1","10090.ENSMUSP00000078985"
"Pla2g7","10090.ENSMUSP00000024706"
"Ptprs","10090.ENSMUSP00000064048"
"Tut4","10090.ENSMUSP00000044836"
"Ell","10090.ENSMUSP00000091163"
"Tspan31","10090.ENSMUSP00000057751"
"Mdp1","10090.ENSMUSP00000002400"
"Itsn2","10090.ENSMUSP00000052758"
"Ccdc61","10090.ENSMUSP00000096377"
"Alkbh1","10090.ENSMUSP00000124565"
"Rasa2","10090.ENSMUSP00000034984"
"Phlda1","10090.ENSMUSP00000132815"
"Mtdh","10090.ENSMUSP00000022865"
"Tbc1d15","10090.ENSMUSP00000020339"
"Anapc16","10090.ENSMUSP00000020307"
"Ip6k1","10090.ENSMUSP00000035214"
"Papss1","10090.ENSMUSP00000029666"
"Sorbs1","10090.ENSMUSP00000153313"
"Cpsf7","10090.ENSMUSP00000038958"
"Acadvl","10090.ENSMUSP00000099634"
"Rictor","10090.ENSMUSP00000051809"
"Arl3","10090.ENSMUSP00000026009"
"Slc27a1","10090.ENSMUSP00000034267"
"Rfc1","10090.ENSMUSP00000144954"
"Tax1bp1","10090.ENSMUSP00000079548"
"Klrb1a","10090.ENSMUSP00000032512"
"Selenow","10090.ENSMUSP00000038943"
"Kirrel","10090.ENSMUSP00000103243"
"Adam17","10090.ENSMUSP00000099087"
"Hnrnpm","10090.ENSMUSP00000120115"
"Nedd8","10090.ENSMUSP00000010520"
"Rab1a","10090.ENSMUSP00000127330"
"Colgalt1","10090.ENSMUSP00000047923"
"Ccnk","10090.ENSMUSP00000152784"
